"subids","age","gender","comments","exp_about","exp_unclear","exp_strategy","exp_external_aid","exp_improve","approval_time","exp_time","trial_type","trial_time","question","trial_num_within_block","shape","response","correct","block","question_and_shape"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2111,"rectangle",9,"parallelogram","Yes",FALSE,"4","rectangle_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2579,"parallelogram",10,"square","Yes",TRUE,"4","parallelogram_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2177,"parallelogram",11,"parallelogram","Yes",TRUE,"4","parallelogram_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1723,"rhombus",12,"rectangle","No",TRUE,"4","rhombus_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1994,"square",13,"rectangle","No",TRUE,"4","square_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3639,"square",14,"parallelogram","No",TRUE,"4","square_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2019,"parallelogram",15,"rectangle","Yes",TRUE,"4","parallelogram_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",6785,"rhombus",16,"rhombus","Yes",TRUE,"4","rhombus_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2232,"rhombus",1,"square","Yes",TRUE,"5","rhombus_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2250,"parallelogram",2,"square","Yes",TRUE,"5","parallelogram_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3073,"rectangle",3,"parallelogram","No",TRUE,"5","rectangle_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3523,"rectangle",4,"rectangle","Yes",TRUE,"5","rectangle_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2426,"rhombus",5,"parallelogram","No",TRUE,"5","rhombus_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2034,"square",6,"parallelogram","No",TRUE,"5","square_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2088,"rectangle",7,"square","Yes",TRUE,"5","rectangle_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2063,"square",8,"rectangle","No",TRUE,"5","square_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3030,"rhombus",9,"rectangle","No",TRUE,"5","rhombus_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",1824,"square",10,"square","Yes",TRUE,"5","square_square"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2697,"rhombus",11,"rhombus","Yes",TRUE,"5","rhombus_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2656,"parallelogram",12,"rhombus","Yes",TRUE,"5","parallelogram_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2948,"parallelogram",13,"rectangle","Yes",TRUE,"5","parallelogram_rectangle"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",2767,"square",14,"rhombus","No",TRUE,"5","square_rhombus"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",4094,"parallelogram",15,"parallelogram","No",FALSE,"5","parallelogram_parallelogram"
1,"44","f","None","It was about identifying shapes","Everything was very clear.","No","No","Nothing",2016-03-07 02:58:19,1244492,"training",3602,"rectangle",16,"rhombus","No",TRUE,"5","rectangle_rhombus"
