"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_and_shape","correct"
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rectangle","yes","square",5,"posttest","square_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rectangle","yes","rectangle",6,"posttest","rectangle_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rectangle","no","rhombus",7,"posttest","rhombus_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rectangle","no","parallelogram",8,"posttest","parallelogram_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","square","yes","parallelogram",9,"posttest","parallelogram_square",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","square","yes","square",10,"posttest","square_square",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","square","no","rhombus",11,"posttest","rhombus_square",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","square","no","rectangle",12,"posttest","rectangle_square",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","parallelogram","yes","square",13,"posttest","square_parallelogram",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","parallelogram","yes","rhombus",14,"posttest","rhombus_parallelogram",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","parallelogram","no","parallelogram",15,"posttest","parallelogram_parallelogram",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","parallelogram","no","rectangle",16,"posttest","rectangle_parallelogram",FALSE
