"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_old","question_and_shape","correct"
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","rectangle","yes","rectangle",1,"posttest","rectangle","rectangle_rectangle",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","square","yes","rectangle",2,"posttest","rectangle","square_rectangle",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","rhombus","no","rectangle",3,"posttest","rectangle","rhombus_rectangle",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","parallelogram","no","rectangle",4,"posttest","rectangle","parallelogram_rectangle",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","parallelogram","yes","parallelogram",5,"posttest","parallelogram","parallelogram_parallelogram",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","square","yes","parallelogram",6,"posttest","parallelogram","square_parallelogram",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","rectangle","yes","parallelogram",7,"posttest","parallelogram","rectangle_parallelogram",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","rhombus","no","parallelogram",8,"posttest","parallelogram","rhombus_parallelogram",FALSE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","rectangle","no","square",9,"posttest","square","rectangle_square",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","square","yes","square",10,"posttest","square","square_square",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","rhombus","no","square",11,"posttest","square","rhombus_square",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","parallelogram","no","square",12,"posttest","square","parallelogram_square",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","rectangle","no","rhombus",13,"posttest","rhombus","rectangle_rhombus",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","rhombus","yes","rhombus",14,"posttest","rhombus","rhombus_rhombus",TRUE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","parallelogram","yes","rhombus",15,"posttest","rhombus","parallelogram_rhombus",FALSE
113,"51","f","no","to see if people learn from the info provided",2016-01-24 21:36:55,210553,"passive_active","rhombus",22766,"entity","square","no","rhombus",16,"posttest","rhombus","square_rhombus",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","square","yes","rhombus",1,"pretest","square","square_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","square","yes","rectangle",2,"pretest","square","square_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","parallelogram","yes","square",3,"pretest","parallelogram","parallelogram_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","parallelogram","no","rectangle",4,"pretest","parallelogram","parallelogram_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rhombus","yes","parallelogram",5,"pretest","rhombus","rhombus_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rectangle","yes","parallelogram",6,"pretest","rectangle","rectangle_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","parallelogram","yes","rhombus",7,"pretest","parallelogram","parallelogram_rhombus",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","square","yes","parallelogram",8,"pretest","square","square_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rectangle","no","rhombus",9,"pretest","rectangle","rectangle_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rectangle","yes","square",10,"pretest","rectangle","rectangle_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rhombus","yes","square",11,"pretest","rhombus","rhombus_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rhombus","no","rectangle",12,"pretest","rhombus","rhombus_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","square","no","rhombus",1,"pretest","rhombus","square_rhombus",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","parallelogram","yes","rhombus",2,"pretest","rhombus","parallelogram_rhombus",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rectangle","no","rhombus",3,"pretest","rhombus","rectangle_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rhombus","yes","rhombus",4,"pretest","rhombus","rhombus_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","square","yes","square",5,"pretest","square","square_square",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rhombus","yes","square",6,"pretest","square","rhombus_square",FALSE
